Routes,Stop,Length,TTime,Alight,Board,Riders,Runs,LoadFac,Capacity,CapFac,StopName
Red Line Eastbound,1,13722,251.5,0,3856,3856,20,192.8,160,24.1,Shady Grove -- EB
Red Line Eastbound,2,11260,196.5,60,1065,4861,20,243.1,160,30.4,Rockville -- EB
Red Line Eastbound,3,5678,141,119,1128,5870,20,293.5,160,36.7,Twinbrook -- EB
Red Line Eastbound,4,7222,156.5,200,792,6462,20,323.1,160,40.4,White Flint -- EB
Red Line Eastbound,5,11091,180,35,2035,8462,20,423.1,160,52.9,Grosvenor-Strathmore -- EB
Red Line Eastbound,6,5764,120,665,360,8157,20,407.9,160,51,Medical Center -- EB
Red Line Eastbound,7,9485,180,489,1352,9020,20,451,160,56.4,Bethesda -- EB
Red Line Eastbound,8,4167,120,322,1230,9928,20,496.4,160,62.1,Friendship Heights -- EB
Red Line Eastbound,9,5734,120,228,603,10303,20,515.2,160,64.4,Tenleytown-AU -- EB
Red Line Eastbound,10,2886,120,106,979,11176,20,558.8,160,69.9,Van Ness-UDC -- EB
Red Line Eastbound,11,4227,180,36,768,11908,20,595.4,160,74.4,Cleveland Park -- EB
Red Line Eastbound,12,6025,120,92,878,12694,20,634.7,160,79.3,Woodley Park -- EB
Red Line Eastbound,13,2972,120,1538,1319,12475,20,623.8,160,78,Dupont Circle -- EB
Red Line Eastbound,14,4141,120,3496,381,9360,20,468,160,58.5,Farragut North -- EB
Red Line Eastbound,15,1768,120,4666,3382,8076,20,403.8,160,50.5,Metro Center -- EB
Red Line Eastbound,16,1786,120,2895,2727,7908,20,395.4,160,49.4,Gallery Place -- EB
Red Line Eastbound,17,3435,120,1862,52,6098,20,304.9,160,38.1,Judiciary Square -- EB
Red Line Eastbound,18,3615,120,4051,343,2390,20,119.5,160,14.9,Union Station -- EB
Red Line Eastbound,19,5497,120,1095,134,1429,20,71.5,160,8.9,NoMa-Gallaudet U -- EB
Red Line Eastbound,20,4522,120,179,98,1348,20,67.4,160,8.4,Rhode Island Ave -- EB
Red Line Eastbound,21,7062,180,365,93,1076,20,53.8,160,6.7,Brookland-CUA -- EB
Red Line Eastbound,22,10010,180,192,304,1188,20,59.4,160,7.4,Fort Totten -- EB
Red Line Eastbound,23,7732,180,133,52,1107,20,55.4,160,6.9,Takoma -- EB
Red Line Eastbound,24,8715,90,961,29,175,10,17.5,80,2.2,Silver Spring -- EB
Red Line Eastbound,25,8667,180,31,4,148,10,14.8,80,1.9,Forest Glen -- EB
Red Line Eastbound,26,9184,240,98,2,52,10,5.2,80,0.7,Wheaton -- EB
Red Line Eastbound,27,0,0,52,0,0,0,0,0,0,Glenmont -- EB
Red Line Westbound,28,9184,240,0,2079,2079,11,189,88,23.6,Glenmont -- WB
Red Line Westbound,29,8667,180,7,1004,3076,11,279.6,88,35,Wheaton -- WB
Red Line Westbound,30,8715,180,7,869,3938,11,358,88,44.8,Forest Glen -- WB
Red Line Westbound,31,7732,180,167,3271,7042,20,352.1,160,44,Silver Spring -- WB
Red Line Westbound,32,10010,120,47,1489,8484,20,424.2,160,53,Takoma -- WB
Red Line Westbound,33,7062,180,297,2025,10212,20,510.6,160,63.8,Fort Totten -- WB
Red Line Westbound,34,4522,180,248,1026,10990,20,549.5,160,68.7,Brookland-CUA -- WB
Red Line Westbound,35,5497,120,98,899,11791,20,589.6,160,73.7,Rhode Island Ave -- WB
